Connecting to host 10.128.0.49, port 5201
[  4] local 10.128.7.7 port 38042 connected to 10.128.0.49 port 5201
[  4]  41.00-42.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  42.00-43.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  43.00-44.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  44.00-45.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
[  4]  45.00-46.00  sec   112 MBytes   941 Mbits/sec   26   2.19 MBytes       
[  4]  46.00-47.00  sec   112 MBytes   941 Mbits/sec    0   2.29 MBytes       
[  4]  47.00-48.00  sec   112 MBytes   941 Mbits/sec    0   2.37 MBytes       
[  4]  48.00-49.00  sec   112 MBytes   941 Mbits/sec    0   2.43 MBytes       
[  4]  49.00-50.00  sec   112 MBytes   941 Mbits/sec    0   2.47 MBytes       
[  4]  50.00-51.00  sec   112 MBytes   941 Mbits/sec    0   2.49 MBytes       
[  4]  51.00-52.00  sec   112 MBytes   941 Mbits/sec    0   2.50 MBytes       
[  4]  52.00-53.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  53.00-54.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  54.00-55.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  55.00-56.00  sec   112 MBytes   941 Mbits/sec    0   2.51 MBytes       
[  4]  56.00-57.00  sec   112 MBytes   941 Mbits/sec    0   2.52 MBytes       
[  4]  57.00-58.00  sec   112 MBytes   941 Mbits/sec    0   2.54 MBytes       
[  4]  58.00-59.00  sec   112 MBytes   942 Mbits/sec    0   2.57 MBytes       
[  4]  59.00-60.00  sec   112 MBytes   941 Mbits/sec    0   2.61 MBytes       
[  4]  60.00-61.00  sec   112 MBytes   941 Mbits/sec    0   2.67 MBytes       
[  4]  61.00-62.00  sec   112 MBytes   942 Mbits/sec    0   2.76 MBytes       
[  4]  62.00-63.00  sec   112 MBytes   942 Mbits/sec    0   2.87 MBytes       
[  4]  63.00-64.00  sec   112 MBytes   941 Mbits/sec    0   2.96 MBytes       
