Connecting to host 10.128.0.49, port 5201
[  4] local 10.128.7.7 port 58764 connected to 10.128.0.49 port 5201
[  4]  98.00-99.00  sec   112 MBytes   941 Mbits/sec    0    557 KBytes       
[  4]  99.00-100.00 sec   112 MBytes   939 Mbits/sec    0    559 KBytes       
[  4] 100.00-101.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 101.00-102.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 102.00-103.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 103.00-104.00 sec   112 MBytes   938 Mbits/sec    0    559 KBytes       
[  4] 104.00-105.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 105.00-106.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 106.00-107.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 107.00-108.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 108.00-109.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 109.00-110.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 110.00-111.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 111.00-112.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 112.00-113.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 113.00-114.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 114.00-115.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 115.00-116.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 116.00-117.00 sec   112 MBytes   941 Mbits/sec    0    559 KBytes       
[  4] 117.00-118.00 sec   112 MBytes   941 Mbits/sec    0    843 KBytes       
[  4] 118.00-119.00 sec   112 MBytes   941 Mbits/sec    0    843 KBytes       
[  4] 119.00-120.00 sec   112 MBytes   941 Mbits/sec    0    843 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-120.00 sec  13.2 GBytes   942 Mbits/sec   52             sender
[  4]   0.00-120.00 sec  13.2 GBytes   941 Mbits/sec                  receiver

iperf Done.
